date,metal,price
1854-09-01,silver,1.29
1854-12-01,gold,20.67
1854-12-01,silver,1.29
1855-03-01,gold,20.67
1855-03-01,silver,1.29
1855-06-01,gold,20.67
1855-06-01,silver,1.29
1855-09-01,gold,20.67
1855-09-01,silver,1.29
1855-12-01,gold,20.67
1855-12-01,silver,1.29
1856-03-01,gold,20.67
1856-03-01,silver,1.29
1856-06-01,gold,20.67
1856-06-01,silver,1.29
1856-09-01,gold,20.67
1856-09-01,silver,1.29
1856-12-01,gold,20.67
1856-12-01,silver,1.29
1857-03-01,gold,20.67
1857-03-01,silver,1.29
1857-06-01,gold,20.67
1857-06-01,silver,1.29
1857-09-01,gold,20.81
1857-09-01,silver,1.29
1857-12-01,gold,20.71
1857-12-01,silver,1.29
1858-03-01,gold,20.67
1858-03-01,silver,1.29
1858-06-01,gold,20.67
1858-06-01,silver,1.29
1858-09-01,gold,20.67
1858-09-01,silver,1.29
1858-12-01,gold,20.67
1858-12-01,silver,1.29
1859-03-01,gold,20.67
1859-03-01,silver,1.29
1859-06-01,gold,20.67
1859-06-01,silver,1.29
1859-09-01,gold,20.67
1859-09-01,silver,1.29
1859-12-01,gold,20.67
1859-12-01,silver,1.29
1860-03-01,gold,20.67
1860-03-01,silver,1.29
1860-06-01,gold,20.67
1860-06-01,silver,1.29
1860-09-01,gold,20.67
1860-09-01,silver,1.29
1860-12-01,gold,20.67
1860-12-01,silver,1.29
1861-03-01,gold,20.67
1861-03-01,silver,1.29
1861-06-01,gold,20.67
1861-06-01,silver,1.29
1861-09-01,gold,20.67
1861-09-01,silver,1.29
1861-12-01,gold,20.67
1861-12-01,silver,1.29
1862-03-01,gold,20.77
1862-03-01,silver,1.71
1862-06-01,gold,20.77
1862-06-01,silver,1.71
1862-09-01,gold,27.54
1862-09-01,silver,1.71
1862-12-01,gold,27.54
1862-12-01,silver,1.71
1863-03-01,gold,27.54
1863-03-01,silver,1.95
1863-06-01,gold,25.24
1863-06-01,silver,1.95
1863-09-01,gold,35.45
1863-09-01,silver,1.95
1863-12-01,gold,31.39
1863-12-01,silver,1.95
1864-03-01,gold,31.39
1864-03-01,silver,2.94
1864-06-01,gold,31.31
1864-06-01,silver,2.94
1864-09-01,gold,57.05
1864-09-01,silver,2.94
1864-12-01,gold,46.36
1864-12-01,silver,2.94
1865-03-01,gold,46.36
1865-03-01,silver,1.89
1865-06-01,gold,48.01
1865-06-01,silver,1.89
1865-09-01,gold,26.59
1865-09-01,silver,1.89
1865-12-01,gold,29.90
1865-12-01,silver,1.89
1866-03-01,gold,29.90
1866-03-01,silver,1.77
1866-06-01,gold,32.19
1866-06-01,silver,1.77
1866-09-01,gold,25.84
1866-09-01,silver,1.77
1866-12-01,gold,27.49
1866-12-01,silver,1.77
1867-03-01,gold,27.49
1867-03-01,silver,1.74
1867-06-01,gold,27.28
1867-06-01,silver,1.74
1867-09-01,gold,30.10
1867-09-01,silver,1.74
1867-12-01,gold,27.59
1867-12-01,silver,1.74
1868-03-01,gold,27.59
1868-03-01,silver,1.75
1868-06-01,gold,27.31
1868-06-01,silver,1.75
1868-09-01,gold,30.70
1868-09-01,silver,1.75
1868-12-01,gold,27.83
1868-12-01,silver,1.75
1869-03-01,gold,27.83
1869-03-01,silver,1.57
1869-06-01,gold,29.30
1869-06-01,silver,1.57
1869-09-01,gold,24.70
1869-09-01,silver,1.57
1869-12-01,gold,24.73
1869-12-01,silver,1.57
1870-03-01,gold,24.73
1870-03-01,silver,1.43
1870-06-01,gold,25.22
1870-06-01,silver,1.43
1870-09-01,gold,22.74
1870-09-01,silver,1.43
1870-12-01,gold,22.89
1870-12-01,silver,1.43
1871-03-01,gold,22.89
1871-03-01,silver,1.41
1871-06-01,gold,23.72
1871-06-01,silver,1.41
1871-09-01,gold,22.40
1871-09-01,silver,1.41
1871-12-01,gold,22.53
1871-12-01,silver,1.41
1872-03-01,gold,22.53
1872-03-01,silver,1.45
1872-06-01,gold,22.43
1872-06-01,silver,1.45
1872-09-01,gold,23.85
1872-09-01,silver,1.45
1872-12-01,gold,23.15
1872-12-01,silver,1.45
1873-03-01,gold,23.15
1873-03-01,silver,1.42
1873-06-01,gold,24.49
1873-06-01,silver,1.42
1873-09-01,gold,21.94
1873-09-01,silver,1.42
1873-12-01,gold,22.79
1873-12-01,silver,1.42
1874-03-01,gold,22.79
1874-03-01,silver,1.41
1874-06-01,gold,22.53
1874-06-01,silver,1.41
1874-09-01,gold,23.54
1874-09-01,silver,1.41
1874-12-01,gold,23.12
1874-12-01,silver,1.41
1875-03-01,gold,23.12
1875-03-01,silver,1.39
1875-06-01,gold,23.10
1875-06-01,silver,1.39
1875-09-01,gold,24.23
1875-09-01,silver,1.39
1875-12-01,gold,23.33
1875-12-01,silver,1.39
1876-03-01,gold,23.33
1876-03-01,silver,1.31
1876-06-01,gold,23.69
1876-06-01,silver,1.31
1876-09-01,gold,22.12
1876-09-01,silver,1.31
1876-12-01,gold,22.12
1876-12-01,silver,1.31
1877-03-01,gold,22.12
1877-03-01,silver,1.21
1877-06-01,gold,22.14
1877-06-01,silver,1.21
1877-09-01,gold,21.19
1877-09-01,silver,1.21
1877-12-01,gold,21.24
1877-12-01,silver,1.21
1878-03-01,gold,21.24
1878-03-01,silver,1.10
1878-06-01,gold,21.24
1878-06-01,silver,1.10
1878-09-01,gold,20.67
1878-09-01,silver,1.10
1878-12-01,gold,20.67
1878-12-01,silver,1.10
1879-03-01,gold,20.67
1879-03-01,silver,1.14
1879-06-01,gold,20.67
1879-06-01,silver,1.14
1879-09-01,gold,20.67
1879-09-01,silver,1.14
1879-12-01,gold,20.67
1879-12-01,silver,1.14
1880-03-01,gold,20.67
1880-03-01,silver,1.12
1880-06-01,gold,20.67
1880-06-01,silver,1.12
1880-09-01,gold,20.67
1880-09-01,silver,1.12
1880-12-01,gold,20.67
1880-12-01,silver,1.12
1881-03-01,gold,20.67
1881-03-01,silver,1.13
1881-06-01,gold,20.67
1881-06-01,silver,1.13
1881-09-01,gold,20.67
1881-09-01,silver,1.13
1881-12-01,gold,20.67
1881-12-01,silver,1.13
1882-03-01,gold,20.67
1882-03-01,silver,1.10
1882-06-01,gold,20.67
1882-06-01,silver,1.10
1882-09-01,gold,20.67
1882-09-01,silver,1.10
1882-12-01,gold,20.67
1882-12-01,silver,1.10
1883-03-01,gold,20.67
1883-03-01,silver,1.11
1883-06-01,gold,20.67
1883-06-01,silver,1.11
1883-09-01,gold,20.67
1883-09-01,silver,1.11
1883-12-01,gold,20.67
1883-12-01,silver,1.11
1884-03-01,gold,20.67
1884-03-01,silver,1.08
1884-06-01,gold,20.67
1884-06-01,silver,1.08
1884-09-01,gold,20.67
1884-09-01,silver,1.08
1884-12-01,gold,20.67
1884-12-01,silver,1.08
1885-03-01,gold,20.67
1885-03-01,silver,1.03
1885-06-01,gold,20.67
1885-06-01,silver,1.03
1885-09-01,gold,20.67
1885-09-01,silver,1.03
1885-12-01,gold,20.67
1885-12-01,silver,1.03
1886-03-01,gold,20.67
1886-03-01,silver,1.01
1886-06-01,gold,20.67
1886-06-01,silver,1.01
1886-09-01,gold,20.67
1886-09-01,silver,1.01
1886-12-01,gold,20.67
1886-12-01,silver,1.01
1887-03-01,gold,20.67
1887-03-01,silver,0.97
1887-06-01,gold,20.67
1887-06-01,silver,0.97
1887-09-01,gold,20.67
1887-09-01,silver,0.97
1887-12-01,gold,20.67
1887-12-01,silver,0.97
1888-03-01,gold,20.67
1888-03-01,silver,0.94
1888-06-01,gold,20.67
1888-06-01,silver,0.94
1888-09-01,gold,20.67
1888-09-01,silver,0.94
1888-12-01,gold,20.67
1888-12-01,silver,0.94
1889-03-01,gold,20.67
1889-03-01,silver,0.96
1889-06-01,gold,20.67
1889-06-01,silver,0.96
1889-09-01,gold,20.67
1889-09-01,silver,0.96
1889-12-01,gold,20.67
1889-12-01,silver,0.96
1890-03-01,gold,20.67
1890-03-01,silver,1.06
1890-06-01,gold,20.67
1890-06-01,silver,1.06
1890-09-01,gold,20.67
1890-09-01,silver,1.06
1890-12-01,gold,20.67
1890-12-01,silver,1.06
1891-03-01,gold,20.67
1891-03-01,silver,0.96
1891-06-01,gold,20.67
1891-06-01,silver,0.96
1891-09-01,gold,20.67
1891-09-01,silver,0.96
1891-12-01,gold,20.67
1891-12-01,silver,0.96
1892-03-01,gold,20.67
1892-03-01,silver,0.84
1892-06-01,gold,20.67
1892-06-01,silver,0.84
1892-09-01,gold,20.67
1892-09-01,silver,0.84
1892-12-01,gold,20.67
1892-12-01,silver,0.84
1893-03-01,gold,20.67
1893-03-01,silver,0.70
1893-06-01,gold,20.67
1893-06-01,silver,0.70
1893-09-01,gold,20.67
1893-09-01,silver,0.70
1893-12-01,gold,20.67
1893-12-01,silver,0.70
1894-03-01,gold,20.67
1894-03-01,silver,0.61
1894-06-01,gold,20.67
1894-06-01,silver,0.61
1894-09-01,gold,20.67
1894-09-01,silver,0.61
1894-12-01,gold,20.67
1894-12-01,silver,0.61
1895-03-01,gold,20.67
1895-03-01,silver,0.68
1895-06-01,gold,20.67
1895-06-01,silver,0.68
1895-09-01,gold,20.67
1895-09-01,silver,0.68
1895-12-01,gold,20.67
1895-12-01,silver,0.68
1896-03-01,gold,20.67
1896-03-01,silver,0.66
1896-06-01,gold,20.67
1896-06-01,silver,0.66
1896-09-01,gold,20.67
1896-09-01,silver,0.66
1896-12-01,gold,20.67
1896-12-01,silver,0.66
1897-03-01,gold,20.67
1897-03-01,silver,0.59
1897-06-01,gold,20.67
1897-06-01,silver,0.59
1897-09-01,gold,20.67
1897-09-01,silver,0.59
1897-12-01,gold,20.67
1897-12-01,silver,0.59
1898-03-01,gold,20.67
1898-03-01,silver,0.60
1898-06-01,gold,20.67
1898-06-01,silver,0.60
1898-09-01,gold,20.67
1898-09-01,silver,0.60
1898-12-01,gold,20.67
1898-12-01,silver,0.60
1899-03-01,gold,20.67
1899-03-01,silver,0.60
1899-06-01,gold,20.67
1899-06-01,silver,0.60
1899-09-01,gold,20.67
1899-09-01,silver,0.60
1899-12-01,gold,20.67
1899-12-01,silver,0.60
1900-03-01,gold,20.67
1900-03-01,silver,0.65
1900-06-01,gold,20.67
1900-06-01,silver,0.65
1900-09-01,gold,20.67
1900-09-01,silver,0.62
1900-12-01,gold,20.67
1900-12-01,silver,0.62
1901-03-01,gold,20.67
1901-03-01,silver,0.60
1901-06-01,gold,20.67
1901-06-01,silver,0.60
1901-09-01,gold,20.67
1901-09-01,silver,0.56
1901-12-01,gold,20.67
1901-12-01,silver,0.56
1902-03-01,gold,20.67
1902-03-01,silver,0.53
1902-06-01,gold,20.67
1902-06-01,silver,0.53
1902-09-01,gold,20.67
1902-09-01,silver,0.49
1902-12-01,gold,20.67
1902-12-01,silver,0.49
1903-03-01,gold,20.67
1903-03-01,silver,0.54
1903-06-01,gold,20.67
1903-06-01,silver,0.54
1903-09-01,gold,20.67
1903-09-01,silver,0.56
1903-12-01,gold,20.67
1903-12-01,silver,0.56
1904-03-01,gold,20.67
1904-03-01,silver,0.58
1904-06-01,gold,20.67
1904-06-01,silver,0.58
1904-09-01,gold,20.67
1904-09-01,silver,0.61
1904-12-01,gold,20.67
1904-12-01,silver,0.61
1905-03-01,gold,20.67
1905-03-01,silver,0.61
1905-06-01,gold,20.67
1905-06-01,silver,0.61
1905-09-01,gold,20.67
1905-09-01,silver,0.66
1905-12-01,gold,20.67
1905-12-01,silver,0.66
1906-03-01,gold,20.67
1906-03-01,silver,0.70
1906-06-01,gold,20.67
1906-06-01,silver,0.70
1906-09-01,gold,20.67
1906-09-01,silver,0.67
1906-12-01,gold,20.67
1906-12-01,silver,0.67
1907-03-01,gold,20.67
1907-03-01,silver,0.66
1907-06-01,gold,20.67
1907-06-01,silver,0.66
1907-09-01,gold,20.67
1907-09-01,silver,0.55
1907-12-01,gold,20.67
1907-12-01,silver,0.55
1908-03-01,gold,20.67
1908-03-01,silver,0.53
1908-06-01,gold,20.67
1908-06-01,silver,0.53
1908-09-01,gold,20.67
1908-09-01,silver,0.49
1908-12-01,gold,20.67
1908-12-01,silver,0.49
1909-03-01,gold,20.67
1909-03-01,silver,0.52
1909-06-01,gold,20.67
1909-06-01,silver,0.52
1909-09-01,gold,20.67
1909-09-01,silver,0.53
1909-12-01,gold,20.67
1909-12-01,silver,0.53
1910-03-01,gold,20.67
1910-03-01,silver,0.54
1910-06-01,gold,20.67
1910-06-01,silver,0.54
1910-09-01,gold,20.67
1910-09-01,silver,0.55
1910-12-01,gold,20.67
1910-12-01,silver,0.55
1911-03-01,gold,20.67
1911-03-01,silver,0.54
1911-06-01,gold,20.67
1911-06-01,silver,0.54
1911-09-01,gold,20.67
1911-09-01,silver,0.56
1911-12-01,gold,20.67
1911-12-01,silver,0.56
1912-03-01,gold,20.67
1912-03-01,silver,0.62
1912-06-01,gold,20.67
1912-06-01,silver,0.62
1912-09-01,gold,20.67
1912-09-01,silver,0.64
1912-12-01,gold,20.67
1912-12-01,silver,0.64
1913-03-01,gold,20.67
1913-03-01,silver,0.61
1913-06-01,gold,20.67
1913-06-01,silver,0.61
1913-09-01,gold,20.67
1913-09-01,silver,0.58
1913-12-01,gold,20.67
1913-12-01,silver,0.58
1914-03-01,gold,20.67
1914-03-01,silver,0.56
1914-06-01,gold,20.67
1914-06-01,silver,0.56
1914-09-01,gold,20.67
1914-09-01,silver,0.50
1914-12-01,gold,20.67
1914-12-01,silver,0.50
1915-03-01,gold,20.67
1915-03-01,silver,0.51
1915-06-01,gold,20.67
1915-06-01,silver,0.51
1915-09-01,gold,20.67
1915-09-01,silver,0.56
1915-12-01,gold,20.67
1915-12-01,silver,0.56
1916-03-01,gold,20.67
1916-03-01,silver,0.67
1916-06-01,gold,20.67
1916-06-01,silver,0.67
1916-09-01,gold,20.67
1916-09-01,silver,0.76
1916-12-01,gold,20.67
1916-12-01,silver,0.76
